semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 1,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Introduction to Generative AI ( Workshop ),Introduction to Generative AI,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 2,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Numerical Ability,Numerical Ability,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Probability and Statistics,Probability and Statistics,,
Semester 1,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,Computer Programming,Computer Programming,,
Semester 1,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,DataBase Management System,Database Management Systems,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,AI For Finanace,AI for Finance,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Back End Development,Back End Development,,
Semester 1,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Programming for problem solving,Computer Programming,,
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,DataBase Management System,Database Management Systems,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Numerical Ability,Numerical Ability,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Probability and Statistics,Probability and Statistics,,
Semester 1,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Quantitative Aptitude,Quantitative Aptitude,,
Semester 1,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Programming for problem solving,Computer Programming,,
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,DataBase Management System,Database Management Systems,,
Semester 1,45f514dd-f612-4f4f-9d8a-b4b209523ab1,NIU,Noida International University,Programming for problem solving,Computer Programming,,
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,English - Advance,Communicative English Advanced,,
Semester 1,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,English - Basic,Communicative English Foundation,,
Semester 1,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Problem Solving Using Python Programming,Computer Programming,,
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Data Structures using C++,Data Structures,,
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Database Systems,Database Management Systems,,
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Mathematics 2,Mathematics for Computer Science,,
Semester 1,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Mathematics 1,Mathematics for Computer Science,,
Semester 1,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Web Development Programmining,Web Application Development 1,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,AI For Finanace,AI for Finance,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Back End Development,Back End Development,,
Semester 2,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,English - Advance,Communicative English Advanced,,
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Communication English Foundation,Communicative English Foundation,,
Semester 1,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Programming for problem solving,Computer Programming,,
Semester 2,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,DataBase Management System,Database Management Systems,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Probability and Statistics,Probability and Statistics,,
Semester 1,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Programming for problem solving,Computer Programming,,
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Data Structures,Data Structures,,
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,DataBase Management System,Database Management Systems,,
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Building LLM Applications,Building LLM Applications,,
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Communicative English Advanced,Communicative English Advanced,,
Semester 1,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Programming for problem solving,Computer Programming,,
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Numerical Ability,Numerical Ability,,
Semester 2,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Advanced English,Communicative English Advanced,,
Semester 1,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,Computer Programming,Computer Programming,,
Semester 2,4134c4fe-97a2-4846-b95f-bd9b51d854d7,Yenepoya,Yenapoya University,DataBase Management System,Database Management Systems,,
